id,uvrstitev,naslov,avtor,leto,žanr1,žanr2,ocena,nagrade,kritike,bralci
1000718,1243,The Day of the Scorpion,Paul Scott,1968,Historical Fiction,Fiction,4.31,0,77,1104
1000724,976,The Towers of Silence,Paul Scott,1971,Fiction,Historical Fiction,4.29,0,65,969
1000751,797,"Pollyanna (Pollyanna, #1)",Eleanor H. Porter,1912,Classics,Childrens,3.94,0,1332,58079
10009,844,Homo Faber,Max Frisch,1957,Classics,Fiction,3.75,0,307,11363
10033,728,Being and Nothingness,Jean-Paul Sartre,1943,Philosophy,Nonfiction,3.94,0,302,20279
10034,557,The Age of Reason,Jean-Paul Sartre,1945,Philosophy,Fiction,3.96,0,344,8730
100365,1052,The Mote in God's Eye,Larry Niven,1974,Science Fiction,Fiction,4.06,3,1270,50275
10037,823,No Exit and Three Other Plays,Jean-Paul Sartre,1947,Plays,Philosophy,4.08,0,561,21793
1005,1433,Think and Grow Rich,Napoleon Hill,1937,Self Help,Economics,4.16,0,2944,108215
100915,12,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950,Fantasy,Classics,4.19,2,14389,1496506
100924,974,"Perelandra (Space Trilogy, #2)",C.S. Lewis,1944,Science Fiction,Fantasy,3.97,0,1550,30150
100933,906,"That Hideous Strength (Space Trilogy, #3)",C.S. Lewis,1945,Science Fiction,Fantasy,3.87,1,1199,22618
101299,220,The Reader,Bernhard Schlink,1995,Fiction,Historical Fiction,3.73,5,8251,137401
10222,463,The Far Pavilions,M.M. Kaye,1978,Historical Fiction,Fiction,4.2,0,1004,33468
10238,1073,The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism,Fritjof Capra,1975,Science,Nonfiction,3.96,0,406,13248
102661,1029,The Diviners,Margaret Laurence,1974,Fiction,Cultural,4.16,1,177,5887
1029082,1268,De donkere kamer van Damokles,Willem Frederik Hermans,1958,European Literature,Literature,3.82,1,187,5518
103159,464,"The Forsyte Saga (The Forsyte Chronicles, #1-3)",John Galsworthy,1921,Classics,Fiction,4.15,0,677,15671
103342,1354,Stolen Lives: Twenty Years in a Desert Jail,Malika Oufkir,1999,Nonfiction,Autobiography,4.08,0,2563,22643
10365,88,Where the Red Fern Grows,Wilson Rawls,1961,Classics,Fiction,4.04,2,8456,272949
10374,468,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,1985,Fiction,Fantasy,4.15,3,4166,72838
104089,1251,Tigana,Guy Gavriel Kay,1990,Fantasy,Fiction,4.12,3,1833,31709
104344,1349,The Gate to Women's Country,Sheri S. Tepper,1987,Science Fiction,Fantasy,4.07,2,550,9112
10444,1391,"Ballet Shoes (Shoes, #1)",Noel Streatfeild,1936,Childrens,Classics,4.06,0,986,27360
104613,1363,Watt,Samuel Beckett,1953,Fiction,European Literature,3.99,1,143,2048
10569,854,On Writing: A Memoir of the Craft,Stephen King,1999,Nonfiction,Language,4.3,3,10950,142306
10572,350,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,1998,Fantasy,Fiction,4.4,3,19764,579389
10583,416,Pet Sematary,Stephen King,1983,Horror,Fiction,3.9,1,5031,281630
10585,770,Insomnia,Stephen King,1994,Horror,Fiction,3.79,0,2182,105033
10589,1289,Bag of Bones,Stephen King,1998,Horror,Fiction,3.86,3,2920,132306
10592,349,Carrie,Stephen King,1974,Horror,Fiction,3.92,0,7674,357589
105986,482,"The Code of the Woosters (Jeeves, #7)",P.G. Wodehouse,1938,Fiction,Humor,4.36,0,1060,16277
